date,total_sleep,light,deep,rem,weekly_avg
2021-10-24,8.75,5.666666666666667,1.0666666666666667,2.0166666666666666,
2021-10-25,5.683333333333334,3.6,0.65,1.4333333333333333,
2021-10-26,6.933333333333334,3.7,1.0166666666666666,2.216666666666667,
2021-10-27,5.033333333333333,2.783333333333333,0.8333333333333334,1.4166666666666667,
2021-10-28,8.416666666666666,4.933333333333334,1.3333333333333333,2.15,
2021-10-29,2.2666666666666666,1.4666666666666666,0.0,0.8,
2021-10-30,9.916666666666666,5.85,1.5833333333333333,2.4833333333333334,
2021-10-31,7.65,4.383333333333334,1.4,1.8666666666666667,6.714285714285714
2021-11-01,7.716666666666667,3.7333333333333334,2.066666666666667,1.9166666666666667,6.557142857142857
2021-11-02,5.916666666666667,2.7666666666666666,1.5833333333333333,1.5666666666666667,6.847619047619048
2021-11-03,6.083333333333333,3.65,0.5833333333333334,1.85,6.702380952380952
2021-11-04,4.65,2.7666666666666666,0.6833333333333333,1.2,6.852380952380953
2021-11-05,5.733333333333333,3.033333333333333,1.2166666666666666,1.4833333333333334,6.314285714285714
2021-11-06,9.933333333333334,5.383333333333334,1.7333333333333334,2.816666666666667,6.809523809523809
2021-11-07,5.633333333333334,3.8333333333333335,0.6666666666666666,1.1333333333333333,6.811904761904763
2021-11-08,5.816666666666666,3.3,0.7,1.8166666666666667,6.523809523809525
2021-11-09,7.6,4.766666666666667,0.8666666666666667,1.9666666666666666,6.252380952380952
2021-11-10,5.466666666666667,3.05,1.1,1.3166666666666667,6.492857142857143
2021-11-11,4.95,2.816666666666667,0.9166666666666666,1.2166666666666666,6.404761904761905
2021-11-12,5.966666666666667,3.5,0.8666666666666667,1.6,6.447619047619048
2021-11-13,9.216666666666667,5.116666666666666,0.9833333333333333,3.1166666666666667,6.480952380952381
2021-11-14,6.0,3.25,0.9666666666666667,1.7833333333333334,6.378571428571429
2021-11-15,6.233333333333333,4.183333333333334,0.75,1.3,6.430952380952381
2021-11-16,6.866666666666666,3.966666666666667,1.15,1.75,6.490476190476191
2021-11-17,5.75,3.55,0.85,1.35,6.385714285714286
2021-11-18,6.216666666666667,3.933333333333333,1.1666666666666667,1.1166666666666667,6.4261904761904765
2021-11-19,6.5,3.533333333333333,1.35,1.6166666666666667,6.607142857142857
2021-11-20,8.116666666666667,5.066666666666666,1.5,1.55,6.683333333333333
2021-11-21,5.333333333333333,2.966666666666667,1.05,1.3166666666666667,6.526190476190476
2021-11-21,5.333333333333333,2.966666666666667,1.05,1.3166666666666667,6.430952380952381
2021-11-22,5.4,3.566666666666667,0.8833333333333333,0.95,6.302380952380951
2021-11-23,7.116666666666666,4.2,1.0166666666666666,1.9,6.092857142857143
2021-11-24,5.283333333333333,3.183333333333333,0.7333333333333333,1.3666666666666667,6.288095238095239
2021-11-25,5.25,2.816666666666667,0.9333333333333333,1.5,6.154761904761905
2021-11-26,6.4,4.116666666666666,0.7,1.5833333333333333,5.976190476190476
2021-11-27,7.283333333333333,4.233333333333333,0.7166666666666667,2.3333333333333335,5.730952380952381
2021-11-28,8.566666666666666,4.7,1.25,2.6166666666666667,6.009523809523809
2021-11-29,6.25,3.566666666666667,1.5166666666666666,1.1666666666666667,6.471428571428572
2021-11-30,7.783333333333333,4.583333333333333,0.9,2.3,6.5928571428571425
2021-12-01,5.85,3.35,0.95,1.55,6.688095238095237
2021-12-02,6.2,3.15,0.95,2.1,6.769047619047619
2021-12-03,5.8,3.15,1.3166666666666667,1.3333333333333333,6.904761904761905
2021-12-04,8.716666666666667,5.333333333333333,1.3333333333333333,2.05,6.819047619047619
2021-12-05,8.466666666666667,4.016666666666667,1.5666666666666667,2.8833333333333333,7.023809523809525
2021-12-06,3.566666666666667,2.183333333333333,0.5833333333333334,0.8,7.009523809523809
2021-12-07,7.2,4.35,1.1833333333333333,1.6666666666666667,6.626190476190476
2021-12-08,6.566666666666666,3.7333333333333334,1.05,1.7833333333333334,6.542857142857144
2021-12-09,6.2,3.4,0.8,2.0,6.645238095238095
2021-12-10,7.766666666666667,4.533333333333333,1.2,2.033333333333333,6.645238095238095
2021-12-11,6.733333333333333,4.066666666666666,0.9833333333333333,1.6833333333333333,6.9261904761904765
2021-12-12,6.516666666666667,3.816666666666667,1.1333333333333333,1.5666666666666667,6.642857142857143
2021-12-13,5.1,3.533333333333333,0.5666666666666667,1.0,6.364285714285714
2021-12-14,5.216666666666667,2.8833333333333333,0.7833333333333333,1.55,6.583333333333334
2021-12-15,4.6,3.316666666666667,0.6666666666666666,0.6166666666666667,6.299999999999999
2021-12-16,5.5,3.45,0.9166666666666666,1.1333333333333333,6.019047619047619
2021-12-17,5.316666666666666,3.3833333333333333,0.2,1.7333333333333334,5.9190476190476184
2021-12-18,8.15,4.95,0.8166666666666667,2.3833333333333333,5.569047619047619
2021-12-19,7.1,3.8666666666666667,1.45,1.7833333333333334,5.771428571428571
2021-12-20,6.45,2.8833333333333333,1.4333333333333333,2.1333333333333333,5.854761904761905
2021-12-21,6.466666666666667,3.0166666666666666,1.8166666666666667,1.6333333333333333,6.047619047619047
2021-12-21,6.466666666666667,3.0166666666666666,1.8166666666666667,1.6333333333333333,6.226190476190475
2021-12-22,5.133333333333334,3.35,0.9,0.8833333333333333,6.492857142857143
2021-12-23,6.966666666666667,4.666666666666667,0.6333333333333333,1.6666666666666667,6.440476190476191
2021-12-24,7.433333333333334,3.8333333333333335,1.5,2.1,6.6761904761904765
2021-12-25,8.383333333333333,4.983333333333333,1.35,2.05,6.5738095238095235
